OBJECTID,ZoningCode,Description,ZoningGroup,Link,Link_Fr,Description_Fr,GlobalID,Shape__Area,Shape__Length
15,CC,Corridor Commercial,Commercial Zones,https://saintjohn.maps.arcgis.com/sharing/rest/content/items/90715d3f91a340bdaa3ec528b11d1b5f/data,https://saintjohn.maps.arcgis.com/sharing/rest/content/items/57d55ca3941d48fea5feb5a8e586479f/data,Corridor commercial,e75b2d4c-073a-4db4-a55d-a92f3e6c486a,12229.8984375,576.312869046677
16,CC,Corridor Commercial,Commercial Zones,https://saintjohn.maps.arcgis.com/sharing/rest/content/items/90715d3f91a340bdaa3ec528b11d1b5f/data,https://saintjohn.maps.arcgis.com/sharing/rest/content/items/57d55ca3941d48fea5feb5a8e586479f/data,Corridor commercial,81f2a33e-dba7-4e1c-b09b-36301e272a46,6664.244140625,382.760143600052
17,CC,Corridor Commercial,Commercial Zones,https://saintjohn.maps.arcgis.com/sharing/rest/content/items/90715d3f91a340bdaa3ec528b11d1b5f/data,https://saintjohn.maps.arcgis.com/sharing/rest/content/items/57d55ca3941d48fea5feb5a8e586479f/data,Corridor commercial,4b653fcb-cbf2-41f4-a5eb-bab2a242b3d8,5843.55078125,341.57910688017
18,CC,Corridor Commercial,Commercial Zones,https://saintjohn.maps.arcgis.com/sharing/rest/content/items/90715d3f91a340bdaa3ec528b11d1b5f/data,https://saintjohn.maps.arcgis.com/sharing/rest/content/items/57d55ca3941d48fea5feb5a8e586479f/data,Corridor commercial,cb700e2c-73c0-4037-b3d8-96bb8e83e816,4291.283203125,317.901404931703
19,CC,Corridor Commercial,Commercial Zones,https://saintjohn.maps.arcgis.com/sharing/rest/content/items/90715d3f91a340bdaa3ec528b11d1b5f/data,https://saintjohn.maps.arcgis.com/sharing/rest/content/items/57d55ca3941d48fea5feb5a8e586479f/data,Corridor commercial,ec7cfd22-43ba-4ae0-8e07-b142734eb8b5,51555.708984375,1582.87170705507
20,CC,Corridor Commercial,Commercial Zones,https://saintjohn.maps.arcgis.com/sharing/rest/content/items/90715d3f91a340bdaa3ec528b11d1b5f/data,https://saintjohn.maps.arcgis.com/sharing/rest/content/items/57d55ca3941d48fea5feb5a8e586479f/data,Corridor commercial,3ea48140-bbc6-4422-8849-0edf5f549b2a,4709.34765625,294.705699192828
21,CC,Corridor Commercial,Commercial Zones,https://saintjohn.maps.arcgis.com/sharing/rest/content/items/90715d3f91a340bdaa3ec528b11d1b5f/data,https://saintjohn.maps.arcgis.com/sharing/rest/content/items/57d55ca3941d48fea5feb5a8e586479f/data,Corridor commercial,7769943c-da26-4d1f-98bd-6a0051969d45,3785.599609375,271.261014403687
22,CC,Corridor Commercial,Commercial Zones,https://saintjohn.maps.arcgis.com/sharing/rest/content/items/90715d3f91a340bdaa3ec528b11d1b5f/data,https://saintjohn.maps.arcgis.com/sharing/rest/content/items/57d55ca3941d48fea5feb5a8e586479f/data,Corridor commercial,7199ec82-4221-4848-a0e7-a832351467a9,3414.732421875,253.425453274947
23,CC,Corridor Commercial,Commercial Zones,https://saintjohn.maps.arcgis.com/sharing/rest/content/items/90715d3f91a340bdaa3ec528b11d1b5f/data,https://saintjohn.maps.arcgis.com/sharing/rest/content/items/57d55ca3941d48fea5feb5a8e586479f/data,Corridor commercial,15c8f6ce-4f9a-47b3-a936-65e075d15add,3185.703125,230.188628967141
24,CC,Corridor Commercial,Commercial Zones,https://saintjohn.maps.arcgis.com/sharing/rest/content/items/90715d3f91a340bdaa3ec528b11d1b5f/data,https://saintjohn.maps.arcgis.com/sharing/rest/content/items/57d55ca3941d48fea5feb5a8e586479f/data,Corridor commercial,3dd700c8-8778-4c54-83ea-d449dd920a28,109301.5546875,1960.33949847854
25,CC,Corridor Commercial,Commercial Zones,https://saintjohn.maps.arcgis.com/sharing/rest/content/items/90715d3f91a340bdaa3ec528b11d1b5f/data,https://saintjohn.maps.arcgis.com/sharing/rest/content/items/57d55ca3941d48fea5feb5a8e586479f/data,Corridor commercial,2b898ac1-9251-482e-95b8-74627098e1a8,13445.640625,658.62926803572
26,CC,Corridor Commercial,Commercial Zones,https://saintjohn.maps.arcgis.com/sharing/rest/content/items/90715d3f91a340bdaa3ec528b11d1b5f/data,https://saintjohn.maps.arcgis.com/sharing/rest/content/items/57d55ca3941d48fea5feb5a8e586479f/data,Corridor commercial,65a9cf68-3e1e-434c-ab91-7b76dc546cc2,14805.517578125,613.36968867321
27,CC,Corridor Commercial,Commercial Zones,https://saintjohn.maps.arcgis.com/sharing/rest/content/items/90715d3f91a340bdaa3ec528b11d1b5f/data,https://saintjohn.maps.arcgis.com/sharing/rest/content/items/57d55ca3941d48fea5feb5a8e586479f/data,Corridor commercial,e7c8cf70-a8a7-4929-84b7-8ad2f49c7588,153980.439453125,4358.81970030762
28,CC,Corridor Commercial,Commercial Zones,https://saintjohn.maps.arcgis.com/sharing/rest/content/items/90715d3f91a340bdaa3ec528b11d1b5f/data,https://saintjohn.maps.arcgis.com/sharing/rest/content/items/57d55ca3941d48fea5feb5a8e586479f/data,Corridor commercial,591e6466-bf58-47f5-af74-8292f2f294a8,41928.263671875,1181.22606986978
29,CC,Corridor Commercial,Commercial Zones,https://saintjohn.maps.arcgis.com/sharing/rest/content/items/90715d3f91a340bdaa3ec528b11d1b5f/data,https://saintjohn.maps.arcgis.com/sharing/rest/content/items/57d55ca3941d48fea5feb5a8e586479f/data,Corridor commercial,63005f69-d95e-4a94-9d65-0e76d7b00091,14802.71484375,498.834461546271
30,CC,Corridor Commercial,Commercial Zones,https://saintjohn.maps.arcgis.com/sharing/rest/content/items/90715d3f91a340bdaa3ec528b11d1b5f/data,https://saintjohn.maps.arcgis.com/sharing/rest/content/items/57d55ca3941d48fea5feb5a8e586479f/data,Corridor commercial,711d7929-75e2-4897-8bdf-6e76e39c11b7,16904.794921875,911.474774494827
31,CC,Corridor Commercial,Commercial Zones,https://saintjohn.maps.arcgis.com/sharing/rest/content/items/90715d3f91a340bdaa3ec528b11d1b5f/data,https://saintjohn.maps.arcgis.com/sharing/rest/content/items/57d55ca3941d48fea5feb5a8e586479f/data,Corridor commercial,916e131c-840e-4dbc-97e5-0f8c2597cbde,16091.765625,530.793113430167
32,CC,Corridor Commercial,Commercial Zones,https://saintjohn.maps.arcgis.com/sharing/rest/content/items/90715d3f91a340bdaa3ec528b11d1b5f/data,https://saintjohn.maps.arcgis.com/sharing/rest/content/items/57d55ca3941d48fea5feb5a8e586479f/data,Corridor commercial,d5a8f3f7-4d57-4fee-8d18-5f198646a567,31055.22265625,1709.77845448549
33,CC,Corridor Commercial,Commercial Zones,https://saintjohn.maps.arcgis.com/sharing/rest/content/items/90715d3f91a340bdaa3ec528b11d1b5f/data,https://saintjohn.maps.arcgis.com/sharing/rest/content/items/57d55ca3941d48fea5feb5a8e586479f/data,Corridor commercial,886dee5e-9b3f-4198-b6bb-8b27fa3c5a76,14792.22265625,563.511193639949
34,CC,Corridor Commercial,Commercial Zones,https://saintjohn.maps.arcgis.com/sharing/rest/content/items/90715d3f91a340bdaa3ec528b11d1b5f/data,https://saintjohn.maps.arcgis.com/sharing/rest/content/items/57d55ca3941d48fea5feb5a8e586479f/data,Corridor commercial,ec32a07e-7538-43d7-a681-1d46cd06280d,42856.052734375,875.91794757627
35,CC,Corridor Commercial,Commercial Zones,https://saintjohn.maps.arcgis.com/sharing/rest/content/items/90715d3f91a340bdaa3ec528b11d1b5f/data,https://saintjohn.maps.arcgis.com/sharing/rest/content/items/57d55ca3941d48fea5feb5a8e586479f/data,Corridor commercial,943790a6-6ee2-4f5a-9dcd-ba95ebdad930,181444.376953125,3219.00719104522
36,CC,Corridor Commercial,Commercial Zones,https://saintjohn.maps.arcgis.com/sharing/rest/content/items/90715d3f91a340bdaa3ec528b11d1b5f/data,https://saintjohn.maps.arcgis.com/sharing/rest/content/items/57d55ca3941d48fea5feb5a8e586479f/data,Corridor commercial,3ae1233e-0cf2-4df7-89d6-18d1336b82b8,3798.763671875,292.219083199635
37,CC,Corridor Commercial,Commercial Zones,https://saintjohn.maps.arcgis.com/sharing/rest/content/items/90715d3f91a340bdaa3ec528b11d1b5f/data,https://saintjohn.maps.arcgis.com/sharing/rest/content/items/57d55ca3941d48fea5feb5a8e586479f/data,Corridor commercial,953a1a67-935b-488f-91e3-48787425204d,13598.1171875,771.309877048405
38,CFN,Neighbourhood Community Facility,Community Facility Zones,https://saintjohn.maps.arcgis.com/sharing/rest/content/items/4ea5010d1386434e87ec35e9bfffa032/data,https://saintjohn.maps.arcgis.com/sharing/rest/content/items/28093ef5ca144d808c07cb2c70b1fcac/data,Installations communautaires de quartier,efa07a6b-76dd-410f-a852-d366fc281f05,1791.591796875,182.80527017542
39,CFN,Neighbourhood Community Facility,Community Facility Zones,https://saintjohn.maps.arcgis.com/sharing/rest/content/items/4ea5010d1386434e87ec35e9bfffa032/data,https://saintjohn.maps.arcgis.com/sharing/rest/content/items/28093ef5ca144d808c07cb2c70b1fcac/data,Installations communautaires de quartier,1a914f48-3aa2-4797-b10e-98060c4a0e0b,87660.638671875,1655.49190343815
40,CFN,Neighbourhood Community Facility,Community Facility Zones,https://saintjohn.maps.arcgis.com/sharing/rest/content/items/4ea5010d1386434e87ec35e9bfffa032/data,https://saintjohn.maps.arcgis.com/sharing/rest/content/items/28093ef5ca144d808c07cb2c70b1fcac/data,Installations communautaires de quartier,df822942-2a3f-4a94-a095-4ff5de230778,19209.91796875,540.124156848402
41,CFN,Neighbourhood Community Facility,Community Facility Zones,https://saintjohn.maps.arcgis.com/sharing/rest/content/items/4ea5010d1386434e87ec35e9bfffa032/data,https://saintjohn.maps.arcgis.com/sharing/rest/content/items/28093ef5ca144d808c07cb2c70b1fcac/data,Installations communautaires de quartier,c1239c7d-2bf1-4406-968f-fd1cf1854e5e,3859.876953125,255.242262163725
42,CFN,Neighbourhood Community Facility,Community Facility Zones,https://saintjohn.maps.arcgis.com/sharing/rest/content/items/4ea5010d1386434e87ec35e9bfffa032/data,https://saintjohn.maps.arcgis.com/sharing/rest/content/items/28093ef5ca144d808c07cb2c70b1fcac/data,Installations communautaires de quartier,d9eba050-642e-4236-9aaa-1fe67515d953,7083.72265625,439.98764089302
43,CFN,Neighbourhood Community Facility,Community Facility Zones,https://saintjohn.maps.arcgis.com/sharing/rest/content/items/4ea5010d1386434e87ec35e9bfffa032/data,https://saintjohn.maps.arcgis.com/sharing/rest/content/items/28093ef5ca144d808c07cb2c70b1fcac/data,Installations communautaires de quartier,38c28581-ddf8-4e15-8a87-70ce1cd83f7b,503.302734375,109.707765477555
44,CFN,Neighbourhood Community Facility,Community Facility Zones,https://saintjohn.maps.arcgis.com/sharing/rest/content/items/4ea5010d1386434e87ec35e9bfffa032/data,https://saintjohn.maps.arcgis.com/sharing/rest/content/items/28093ef5ca144d808c07cb2c70b1fcac/data,Installations communautaires de quartier,9f2f8e4d-c8aa-4da7-825c-738a08345642,450.787109375,91.4743051040546
45,CFN,Neighbourhood Community Facility,Community Facility Zones,https://saintjohn.maps.arcgis.com/sharing/rest/content/items/4ea5010d1386434e87ec35e9bfffa032/data,https://saintjohn.maps.arcgis.com/sharing/rest/content/items/28093ef5ca144d808c07cb2c70b1fcac/data,Installations communautaires de quartier,a9dc7432-215c-4da2-a4ff-e4c88fbc7604,28983.12890625,877.215453791334
46,CFN,Neighbourhood Community Facility,Community Facility Zones,https://saintjohn.maps.arcgis.com/sharing/rest/content/items/4ea5010d1386434e87ec35e9bfffa032/data,https://saintjohn.maps.arcgis.com/sharing/rest/content/items/28093ef5ca144d808c07cb2c70b1fcac/data,Installations communautaires de quartier,eeb6fa72-c3a6-4d42-bcee-67a90640e2fb,6040.853515625,341.172836987986
47,RS,Rural Settlement Residential,Residential Zones,https://saintjohn.maps.arcgis.com/sharing/rest/content/items/494728b1a2e94e3db35d7302e813ca8e/data,https://saintjohn.maps.arcgis.com/sharing/rest/content/items/3570eeb795254b70aef37284c3b4f5e9/data,Résidentielle de peuplement rurale,eaf258b2-3b3f-4c01-a2bf-a12d84bb96cd,2506.5625,215.986626261888
48,CFN,Neighbourhood Community Facility,Community Facility Zones,https://saintjohn.maps.arcgis.com/sharing/rest/content/items/4ea5010d1386434e87ec35e9bfffa032/data,https://saintjohn.maps.arcgis.com/sharing/rest/content/items/28093ef5ca144d808c07cb2c70b1fcac/data,Installations communautaires de quartier,9cd8b1d0-ff6b-4ba7-80eb-d50d5d5f3cbb,2011.896484375,215.352669571448
49,CFN,Neighbourhood Community Facility,Community Facility Zones,https://saintjohn.maps.arcgis.com/sharing/rest/content/items/4ea5010d1386434e87ec35e9bfffa032/data,https://saintjohn.maps.arcgis.com/sharing/rest/content/items/28093ef5ca144d808c07cb2c70b1fcac/data,Installations communautaires de quartier,49eb0158-4e44-4972-8b8a-21516423782e,1305.51953125,165.064692829084
50,CFN,Neighbourhood Community Facility,Community Facility Zones,https://saintjohn.maps.arcgis.com/sharing/rest/content/items/4ea5010d1386434e87ec35e9bfffa032/data,https://saintjohn.maps.arcgis.com/sharing/rest/content/items/28093ef5ca144d808c07cb2c70b1fcac/data,Installations communautaires de quartier,10f9c9db-5882-4a1a-87aa-71a5be90316a,375.654296875,85.7865249464098
51,RU,Rural,Other Zones,https://saintjohn.maps.arcgis.com/sharing/rest/content/items/3512dffe88824893be1221cbc75c6382/data,https://saintjohn.maps.arcgis.com/sharing/rest/content/items/760ade32073a4f9bb8163e2f01bec9d7/data,Rurale,b0c2bd53-baa8-4128-a64b-23b86838cc6d,99561.896484375,1451.27378411125
52,CFN,Neighbourhood Community Facility,Community Facility Zones,https://saintjohn.maps.arcgis.com/sharing/rest/content/items/4ea5010d1386434e87ec35e9bfffa032/data,https://saintjohn.maps.arcgis.com/sharing/rest/content/items/28093ef5ca144d808c07cb2c70b1fcac/data,Installations communautaires de quartier,c3d12631-01bd-4447-b8d8-8ded73e68387,3740.939453125,238.765034289414
53,CFN,Neighbourhood Community Facility,Community Facility Zones,https://saintjohn.maps.arcgis.com/sharing/rest/content/items/4ea5010d1386434e87ec35e9bfffa032/data,https://saintjohn.maps.arcgis.com/sharing/rest/content/items/28093ef5ca144d808c07cb2c70b1fcac/data,Installations communautaires de quartier,e2d2317d-0ab1-44fe-b134-6c654b607a66,3418.751953125,241.877792553989
54,CFN,Neighbourhood Community Facility,Community Facility Zones,https://saintjohn.maps.arcgis.com/sharing/rest/content/items/4ea5010d1386434e87ec35e9bfffa032/data,https://saintjohn.maps.arcgis.com/sharing/rest/content/items/28093ef5ca144d808c07cb2c70b1fcac/data,Installations communautaires de quartier,7747e6f9-4023-4ac8-b488-4571499bcfa5,5821.5234375,315.978522767096
55,CFN,Neighbourhood Community Facility,Community Facility Zones,https://saintjohn.maps.arcgis.com/sharing/rest/content/items/4ea5010d1386434e87ec35e9bfffa032/data,https://saintjohn.maps.arcgis.com/sharing/rest/content/items/28093ef5ca144d808c07cb2c70b1fcac/data,Installations communautaires de quartier,bbcb85c3-ec6b-4a90-808b-8241542de8b2,7992.15625,550.275540054787
56,CFN,Neighbourhood Community Facility,Community Facility Zones,https://saintjohn.maps.arcgis.com/sharing/rest/content/items/4ea5010d1386434e87ec35e9bfffa032/data,https://saintjohn.maps.arcgis.com/sharing/rest/content/items/28093ef5ca144d808c07cb2c70b1fcac/data,Installations communautaires de quartier,2193d96d-704d-4cdc-8b28-c30c7d76d3b0,5514.794921875,311.245204789334
57,CFN,Neighbourhood Community Facility,Community Facility Zones,https://saintjohn.maps.arcgis.com/sharing/rest/content/items/4ea5010d1386434e87ec35e9bfffa032/data,https://saintjohn.maps.arcgis.com/sharing/rest/content/items/28093ef5ca144d808c07cb2c70b1fcac/data,Installations communautaires de quartier,e39ec987-4d46-4990-84f7-ec4fb8060b11,22689.4765625,782.089786670738
58,CFN,Neighbourhood Community Facility,Community Facility Zones,https://saintjohn.maps.arcgis.com/sharing/rest/content/items/4ea5010d1386434e87ec35e9bfffa032/data,https://saintjohn.maps.arcgis.com/sharing/rest/content/items/28093ef5ca144d808c07cb2c70b1fcac/data,Installations communautaires de quartier,5daa2bee-6f91-4a5d-8c72-ce6a94dd7da6,766.259765625,111.370501564861
59,CFN,Neighbourhood Community Facility,Community Facility Zones,https://saintjohn.maps.arcgis.com/sharing/rest/content/items/4ea5010d1386434e87ec35e9bfffa032/data,https://saintjohn.maps.arcgis.com/sharing/rest/content/items/28093ef5ca144d808c07cb2c70b1fcac/data,Installations communautaires de quartier,fe779f3e-6e8b-4f72-b572-744b8eeb8ade,14456.912109375,683.903835178273
60,CFN,Neighbourhood Community Facility,Community Facility Zones,https://saintjohn.maps.arcgis.com/sharing/rest/content/items/4ea5010d1386434e87ec35e9bfffa032/data,https://saintjohn.maps.arcgis.com/sharing/rest/content/items/28093ef5ca144d808c07cb2c70b1fcac/data,Installations communautaires de quartier,31026aaf-0d77-4e3d-a833-01f4afea7a14,49564.916015625,1309.76482588622
61,CFN,Neighbourhood Community Facility,Community Facility Zones,https://saintjohn.maps.arcgis.com/sharing/rest/content/items/4ea5010d1386434e87ec35e9bfffa032/data,https://saintjohn.maps.arcgis.com/sharing/rest/content/items/28093ef5ca144d808c07cb2c70b1fcac/data,Installations communautaires de quartier,50c1c6e1-c393-4282-9de6-eea74243dfe4,14135.802734375,502.130469790612
62,R2,Two-Unit Residential,Residential Zones,https://saintjohn.maps.arcgis.com/sharing/rest/content/items/b69f68f598684057b8269d4999409938/data,https://saintjohn.maps.arcgis.com/sharing/rest/content/items/40c6024264354de9ac3bc3601e838a5e/data,Résidentielle bifamiliale,bfc962ac-b8e4-4acb-9454-ffa9eadea92e,40258.8671875,1316.18317699193
63,P,Park,Other Zones,https://saintjohn.maps.arcgis.com/sharing/rest/content/items/f8ae5887ff644f6f8f8c07970b3c3f68/data,https://saintjohn.maps.arcgis.com/sharing/rest/content/items/63d4c86774e94996a68c2bdf5d59a2e6/data,Parc,9c2b0dbe-0f16-4060-9af4-d6d9ee20531e,114855.861328125,2191.84902533634
64,P,Park,Other Zones,https://saintjohn.maps.arcgis.com/sharing/rest/content/items/f8ae5887ff644f6f8f8c07970b3c3f68/data,https://saintjohn.maps.arcgis.com/sharing/rest/content/items/63d4c86774e94996a68c2bdf5d59a2e6/data,Parc,3cf67a59-9f4b-4fbf-b9c1-c1e32b8313ad,202836.279296875,2030.64680507137
65,P,Park,Other Zones,https://saintjohn.maps.arcgis.com/sharing/rest/content/items/f8ae5887ff644f6f8f8c07970b3c3f68/data,https://saintjohn.maps.arcgis.com/sharing/rest/content/items/63d4c86774e94996a68c2bdf5d59a2e6/data,Parc,17e72b41-7c94-490a-aab9-407dbd27cf67,54683.771484375,962.812491264954
66,P,Park,Other Zones,https://saintjohn.maps.arcgis.com/sharing/rest/content/items/f8ae5887ff644f6f8f8c07970b3c3f68/data,https://saintjohn.maps.arcgis.com/sharing/rest/content/items/63d4c86774e94996a68c2bdf5d59a2e6/data,Parc,3f7131e0-3cae-4110-adfc-af5d314a7663,32644.8984375,815.381135957779
67,CR,Regional Commercial,Commercial Zones,https://saintjohn.maps.arcgis.com/sharing/rest/content/items/edfd0e7e022e496f964f5ef9876365a9/data,https://saintjohn.maps.arcgis.com/sharing/rest/content/items/1355351ae9b04536ab0a2049a2797527/data,Commerciale régionale,de4a2f39-952a-426e-a58f-6b433f8ebf05,5317.7265625,289.629564010223
68,CR,Regional Commercial,Commercial Zones,https://saintjohn.maps.arcgis.com/sharing/rest/content/items/edfd0e7e022e496f964f5ef9876365a9/data,https://saintjohn.maps.arcgis.com/sharing/rest/content/items/1355351ae9b04536ab0a2049a2797527/data,Commerciale régionale,995b3e76-ee03-4429-a994-fa35add1d3b0,56700.3515625,1026.27066458116
69,CR,Regional Commercial,Commercial Zones,https://saintjohn.maps.arcgis.com/sharing/rest/content/items/edfd0e7e022e496f964f5ef9876365a9/data,https://saintjohn.maps.arcgis.com/sharing/rest/content/items/1355351ae9b04536ab0a2049a2797527/data,Commerciale régionale,94d13cf3-f2db-4ae9-8ccf-5917f8cec1fc,187274.97265625,2234.61402258878
70,CR,Regional Commercial,Commercial Zones,https://saintjohn.maps.arcgis.com/sharing/rest/content/items/edfd0e7e022e496f964f5ef9876365a9/data,https://saintjohn.maps.arcgis.com/sharing/rest/content/items/1355351ae9b04536ab0a2049a2797527/data,Commerciale régionale,e54f80dd-51cf-4562-91eb-d17181f808ce,109058.59375,1608.0970406262
71,CR,Regional Commercial,Commercial Zones,https://saintjohn.maps.arcgis.com/sharing/rest/content/items/edfd0e7e022e496f964f5ef9876365a9/data,https://saintjohn.maps.arcgis.com/sharing/rest/content/items/1355351ae9b04536ab0a2049a2797527/data,Commerciale régionale,4c748dae-fc60-4390-bdc2-e87c617af90c,353122.220703125,2517.60832186425
72,R1,One-Unit Residential,Residential Zones,https://saintjohn.maps.arcgis.com/sharing/rest/content/items/ccd6e2fff6ff4349ad8c853b32f26762/data,https://saintjohn.maps.arcgis.com/sharing/rest/content/items/f0034f3363ae44398c4f77f52b827b80/data,Résidentielle unifamiliale,984673b6-33b5-401d-a066-25771eec0d09,23540.1171875,735.039449654292
73,R1,One-Unit Residential,Residential Zones,https://saintjohn.maps.arcgis.com/sharing/rest/content/items/ccd6e2fff6ff4349ad8c853b32f26762/data,https://saintjohn.maps.arcgis.com/sharing/rest/content/items/f0034f3363ae44398c4f77f52b827b80/data,Résidentielle unifamiliale,e461c1cd-c5c2-4e84-a3c2-5971ec094e23,15903.130859375,535.856844840026
74,CRG,Rural General Commercial,Commercial Zones,https://saintjohn.maps.arcgis.com/sharing/rest/content/items/c5275965f46e47e6b8ecde72d0a30d2b/data,https://saintjohn.maps.arcgis.com/sharing/rest/content/items/d4eb223652514040920d53585c58441e/data,Commerciale générale rurale,5f5e4d85-edfc-406c-ac23-8fbee9e48bd4,13975.23828125,575.283623307519
75,CRG,Rural General Commercial,Commercial Zones,https://saintjohn.maps.arcgis.com/sharing/rest/content/items/c5275965f46e47e6b8ecde72d0a30d2b/data,https://saintjohn.maps.arcgis.com/sharing/rest/content/items/d4eb223652514040920d53585c58441e/data,Commerciale générale rurale,bc1392af-9460-4a91-a781-60d6e1ad38c3,5262.890625,326.449343592682
76,CRG,Rural General Commercial,Commercial Zones,https://saintjohn.maps.arcgis.com/sharing/rest/content/items/c5275965f46e47e6b8ecde72d0a30d2b/data,https://saintjohn.maps.arcgis.com/sharing/rest/content/items/d4eb223652514040920d53585c58441e/data,Commerciale générale rurale,f8ae46e8-4bf2-4939-9ead-f93936954e43,6866.484375,392.446810600513
77,CR,Regional Commercial,Commercial Zones,https://saintjohn.maps.arcgis.com/sharing/rest/content/items/edfd0e7e022e496f964f5ef9876365a9/data,https://saintjohn.maps.arcgis.com/sharing/rest/content/items/1355351ae9b04536ab0a2049a2797527/data,Commerciale régionale,1d1b00cd-a43f-4b10-b391-790c05cb3a50,88223.56640625,1714.20052818368
